Sample,Grade,Topic,Sub-topic,Challenge Type,Student Mistake
1,K2,Geometry,parts of a whole,Conceptual misunderstanding,The student incorrectly thinks that all parts of a whole must be the same size and struggles to understand that they can be different.
2,K2,Geometry,parts of a whole,Conceptual misunderstanding,The student incorrectly thinks that 'half' means to split the whole into two groups of unequal size.
3,K2,Geometry,parts of a whole,Conceptual misunderstanding,The student thinks that parts of a whole mean adding the parts together instead of recognizing the total must be whole.
4,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student believes that parts of a whole can be added to equal more than the whole, confusing the concept of fractions."
5,K2,Geometry,parts of a whole,Conceptual misunderstanding,The student thinks every part of a whole must be the same size and cannot understand that parts can differ.
6,K2,Geometry,parts of a whole,Conceptual misunderstanding,The student thinks that cutting a shape into parts means multiplying the whole by the number of parts instead of recognizing the parts represent fractions of the whole.
7,K2,Geometry,parts of a whole,Conceptual misunderstanding,The student thinks that halves are always equal regardless of the object being divided.
8,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student incorrectly thinks that parts of a whole must always be equal, so they struggle to understand how different fractions can represent varying sizes of the same object."
9,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student thinks the parts of a whole must always be equal, so they struggle with problems involving fractions of different sizes."
10,K2,Geometry,parts of a whole,Conceptual misunderstanding,The student thinks that a whole can only be divided into equal parts and does not understand that parts can be of different sizes.
11,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student thinks that to find a part of a whole, they need to add the parts together instead of dividing the whole."
12,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student thinks that dividing a shape into parts means splitting it into unequal sizes, believing that all parts must be different."
13,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student thinks that if they color half of a circle, they have created two equal parts, rather than recognizing that half is only one of multiple ways to divide the whole."
14,K2,Geometry,parts of a whole,Conceptual misunderstanding,The student thinks that adding the parts of the whole together should equal the area instead of the total number of parts.
15,K2,Geometry,parts of a whole,Conceptual misunderstanding,The student thinks that all parts must be equal in a whole and struggles to identify how different fractions can represent the same whole.
16,K2,Geometry,parts of a whole,Conceptual misunderstanding,The student thinks that parts of a whole can be made by adding numbers without considering their size relative to the whole.
17,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student thinks that if 1/2 of a pizza is left, and the other half is given away, there is still one whole pizza remaining."
18,K2,Geometry,parts of a whole,Conceptual misunderstanding,The student thinks that splitting a shape into parts means to simply draw lines without understanding how these parts relate to the whole.
19,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student thinks that when two parts are combined, they do not need to add the whole amount to compute the total."
20,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student thinks that parts of a whole can only be divided into equal sections, leading to confusion when asked to partition an object in unequal parts."
21,K2,Geometry,parts of a whole,Conceptual misunderstanding,The student incorrectly thinks that parts of a whole can be multiplied instead of added.
22,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student thinks that parts of a whole must always be the same size, leading to confusion in identifying fractions."
23,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student thinks that if a shape is divided into two equal parts, it can be multiplied by 2 to find the whole, but they do not understand that the whole represents the entire shape, not just the parts they counted."
24,K2,Geometry,parts of a whole,Conceptual misunderstanding,The student incorrectly applies the distributive property.
25,K2,Geometry,parts of a whole,Conceptual misunderstanding,The student incorrectly applies the distributive property.
26,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student thinks that adding the parts together results in the whole, but does not understand that they are summing fractions."
27,K2,Geometry,parts of a whole,Conceptual misunderstanding,The student thinks that dividing a whole into parts means taking away instead of sharing.
28,K2,Geometry,parts of a whole,Conceptual misunderstanding,The student tries to divide the whole into parts but mistakenly adds the fractions together instead of recognizing how they represent parts of the same whole.
29,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student thinks that if a shape is divided into two equal parts, each part must always be shaped like the whole."
30,K2,Geometry,parts of a whole,Conceptual misunderstanding,The student thinks that parts of a whole can be added together in any order without considering their total value.
31,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student thinks that parts of a whole can be added together without considering the total, mistaking '1/2' and '1/4' as 1/2 + 1/4 = 3/4 without recognizing that they need a common denominator."
