Sample,Grade,Topic,Sub-topic,Challenge Type,Student Mistake
1,K2,Geometry,parts of a whole,Understanding Fractions as Parts of a Whole,"The student may struggle to visually identify equal parts, leading to an inaccurate count of the shaded portion or the total parts. They might not understand that the whole must be divided into equal sections to represent fractions."
2,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student counts the shaded parts, regardless of the total number of parts, focusing only on what is present rather than the fraction of the whole."
3,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student struggles to represent the fractional concept accurately. They may try to count objects without understanding the relationship between the part and the whole, or might simply guess the answer randomly, unable to perform the actual operation"
4,K2,Geometry,parts of a whole,Conceptual misunderstanding - Fractions/Parts of a Whole,"The student struggles to visually represent the concept of equal parts and might randomly select objects or groups, not understanding the need for division into equal sections. For instance, if asked to color half of 4 circles, they might color 1 circle instead of 2, or perhaps just select two circles that aren't adjacent."
5,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student confuses the number of equal parts with the size of the parts. For example, when asked to show 1/2 of a shape, they might color one part of a shape divided into three equal parts, or they might incorrectly try to divide the shape into unequal parts."
6,K2,Geometry,parts of a whole,Conceptual misunderstanding,The student attempts to directly add or subtract parts without understanding the need for a common whole or equal shares. They may be counting individual pieces incorrectly or confusing the 'whole' with one of the parts.
7,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student struggles to understand that parts need to add up to the whole and incorrectly assumes equal parts of the whole always look similar, or correctly identifies parts and the whole. For example, when presented with a picture of a pizza sliced into uneven parts and asked, 'what fraction of the pizza is this slice?' they might respond with an answer like '1/4' simply because they see one slice and assume all slices are the same size as a visual cue, or when asked how many parts is the circle split into they will guess at the number of parts incorrectly, or when asking which parts make up the circle they will only choose some of the parts."
8,K2,Geometry,parts of a whole,Conceptual misunderstanding,The student struggles to accurately identify and compare equal parts. They might confuse the pieces or count them incorrectly.
9,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student struggles with proportional reasoning and interpreting the visual representation of fractions. They may be counting individual shapes instead of focusing on equal parts, or not understanding that the total number of parts is the denominator."
10,K2,Geometry,parts of a whole,Conceptual misunderstanding,The student struggles to visually decompose the shape into equal parts or may not understand the concept of 'equal parts' resulting in incorrect partitioning or counting.
11,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student misinterprets the equal-sharing aspect of dividing a shape into parts. They might count the sides instead of focusing on the areas of the resulting pieces, or they might not understand that the pieces need to be approximately the same size."
12,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student confuses fractional parts with counting objects. When presented with a shape divided into equal sections (e.g., a pizza cut into 4 slices) and asked to identify a fraction, they might misinterpret the question and count the number of individual sections instead of understanding how those sections relate to the whole shape."
13,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student attempts to physically count the pieces and doesn't understand the concept of equal parts. May incorrectly count based on how the shape is divided, not necessarily the size of each piece. They also may focus on the number of visible lines or points and relate this to the number of 'parts'."
14,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student confuses the concept of parts of a whole with the act of physically breaking apart or separating objects without considering equal shares. For example, when asked to identify 1/2 of a group of objects, the student might randomly separate some items, not necessarily into equal groups, and call that 'half'."
15,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student counts individual objects instead of focusing on the relationship between parts and the whole. For example, when asked to identify 1/2 of a group of objects, they might count all objects and give that number instead of dividing and identifying half."
16,K2,Geometry,parts of a whole,Conceptual misunderstanding,The student struggles to understand the concept of a whole divided into equal parts and may focus on the individual pieces rather than their relationship to the original whole. They might count individual shapes or confuse the number of parts with the size of the whole.
17,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student struggles to visually represent and count fractional parts, potentially confusing the total number of objects with the shaded portion. They might also believe that each part must be the exact same size to be considered a fraction."
18,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student misunderstands the concept of 'parts of a whole' and focuses on comparing individual elements instead of their proportional relationship to the whole. For example, if the whole is a circle divided into four parts, the student might identify one part as 'big' and another as 'small' without relating them to the whole circle's area. Or, they might count individual objects incorrectly."
19,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student struggles to visualize and quantify fractions, potentially counting individual shapes instead of understanding the relationship to the whole. May also incorrectly identify equal parts."
20,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student struggles to visually compare the size of parts, potentially misinterpreting quantity or failing to see the whole as comprised of equal sections. May also miscount the parts."
