Grade,Topic,Sub-topic,Challenge Type,Problem,Student Mistake Prompt,Student Mistake Prompt
K2,Geometry,parts of a whole,Conceptual Error,Identify the shape that has 4 equal sides and 4 right angles.,"Student confuses a square with a rectangle, stating that both are the same shape.",
K2,Geometry,parts of a whole,Conceptual Error,"Identify the parts of a circle (e.g., radius, diameter, circumference).","Student labels the radius and diameter incorrectly, confusing which part corresponds to which term.",
K2,Geometry,parts of a whole,Conceptual Error,Identify and color half of a circle.,Student colors more than half of the circle due to misunderstanding the concept of 'half'.,
K2,Geometry,parts of a whole,Conceptual Error,Identify and color the fraction of the pizza that represents one half.,Student colors more than half of the pizza due to misunderstanding of the fraction concept.,
K2,Geometry,parts of a whole,Conceptual Error,"Identify the parts of a circle (center, radius, diameter).",Student incorrectly identifies the radius as the entire circle instead of just the distance from the center.,
K2,Geometry,parts of a whole,Conceptual Understanding Error,"Identify the parts of a circle (e.g., center, radius, circumference).","Student confuses the radius with the diameter, labeling them incorrectly.",
K2,Geometry,parts of a whole,Conceptual Error,"Identify the parts of a circle (e.g., radius, diameter, circumference).",Student confuses the radius with the diameter and labels it incorrectly.,
K2,Geometry,parts of a whole,Conceptual Error,Identify the two halves of a circle by folding paper.,"Student folds the paper unevenly, creating three pieces instead of two equal halves.",
K2,Geometry,parts of a whole,Conceptual Error,Identify and color in half of a circle.,Student colors in a triangle shape instead of half of the circle due to confusion about shape parts.,
K2,Geometry,parts of a whole,Conceptual Error,Identify the number of slices in a pizza that is cut into 8 equal parts.,"Student counts the slices incorrectly because they overlook one slice, thinking there are only 7.",
K2,Geometry,parts of a whole,Conceptual Error,Identify the two equal parts of a circle.,"Student colors in the wrong sections of the circle, misidentifying the halves.",
K2,Geometry,parts of a whole,Conceptual Error,Identify and color half of a circle using crayons.,"Student colors the circle unevenly, mistakenly coloring more than half or less than half.",
K2,Geometry,parts of a whole,Conceptual Error,Identify the number of equal parts in a circle divided into four sections.,"Student counts the sections but mistakenly includes the space between them, thinking there are five parts instead of four.",
K2,Geometry,parts of a whole,Conceptual Error,"Identify the parts of a circle (like the center, radius, diameter).",Student confuses the radius with the diameter and labels both incorrectly.,
K2,Geometry,parts of a whole,Conceptual Error,Identify and color 1/2 of a circle from a paper template.,"Student colors the entire circle instead of just half, misunderstanding the concept of 'parts of a whole'.",
K2,Geometry,parts of a whole,Conceptual Error,"Identify the parts of a circle (e.g., radius, diameter, circumference).","Student confuses the parts of a circle with those of a square, labeling all sides incorrectly.",
K2,Geometry,parts of a whole,Conceptual Error,Identify and color the parts of a circle from a diagram.,Student colors the whole circle instead of just the specified segments.,
K2,Geometry,parts of a whole,Conceptual Error,Identify and color one part of the pizza diagram to show a quarter of the whole pizza.,"Student colors an half instead of a quarter, misunderstanding the concept of parts of a whole.",
K2,Geometry,parts of a whole,Conceptual Error,"Identify the parts of a circle: center, radius, and circumference.",Student confuses the radius with the diameter and labels it incorrectly.,
K2,Geometry,parts of a whole,Conceptual Error,Identify and color 1/4 of a circle in a worksheet.,"Student colors a larger section, misunderstanding the concept of a quarter.",
K2,Geometry,parts of a whole,Conceptual Error,Identify the two parts of a circle: the radius and the diameter.,Student confuses the terms and labels both parts as 'sides' of a circle.,
K2,Geometry,parts of a whole,Conceptual Error,"Identify the parts of a circle: center, radius, and circumference.","Student confuses the radius with the diameter, labeling them incorrectly.",
K2,Geometry,parts of a whole,Conceptual Error,Identify and color half of a circle.,Student colors more than half of the circle due to misunderstanding the concept of 'half'.,
K2,Geometry,parts of a whole,Conceptual Error,"Identify the parts of a circle: center, radius, and circumference.","Student labels the parts incorrectly, confusing radius with diameter.",
K2,Geometry,parts of a whole,Conceptual Error,"Identify and color the parts of a circle: the center, radius, and circumference.","Student colors the entire circle instead of just the specified parts, misunderstanding the task.",
K2,Geometry,parts of a whole,Conceptual Error,"Identify the parts of a circle (radius, diameter, circumference).",Student confuses the radius with the diameter and labels them incorrectly.,
K2,Geometry,parts of a whole,Conceptual Error,Identify the color that represents one part of a pizza divided into four equal slices.,Student incorrectly identifies a color because they think half of the pizza is one part.,
