Grade,Topic,Sub-topic,Challenge Type,Problem,Student Mistake Prompt
K2,Geometry,parts of a whole,Conceptual,"If you eat 2/5 of a cake, how much is left?",Assuming 2/5 means 2 cakes and calculating 3 cakes as remaining
K2,Geometry,parts of a whole,Conceptual Error,"If you have 2/3 of a pizza left, what fraction have you eaten?",Assuming you have eaten 2/3.
K2,Geometry,parts of a whole,Conceptual Error,"If you have 2/4 of a pizza, what fraction is that?",Thinking 2/4 is larger than 1/2.
K2,Geometry,parts of a whole,Fractions,"If a cake is cut into 8 equal pieces, what fraction is 5 pieces?",Thinking 5/8 instead of 5/8
K2,Geometry,parts of a whole,Conceptual,"If you shade 1/3 of the circle, how many parts is that?",Reading the question as a part-whole relationship question.
K2,Geometry,parts of a whole,Fractions,"If you have 2/3 of a cake, how much is left?",Rounding 2/3 to 1/2 and finding the wrong amount left
K2,Geometry,parts of a whole,Proportional Reasoning,"If 1/6 of a circle is shaded, what fraction is not shaded?",Student incorrectly finds 6/5 instead of 5/6.
K2,Geometry,parts of a whole,Conceptual,"If a rectangle is divided into halves, how many parts are there total?",The student thinks there are 4 parts.
K2,Geometry,parts of a whole,Language Barrier,What is the probability of selecting a red card from a deck?,<Student might not understand the term 'probability' or its application to the problem.>
K2,Geometry,parts of a whole,Conceptual Error,"If a pizza is cut into 8 slices, what fraction is 4 slices?",Cutting into equal parts is what makes fractions.
K2,Geometry,parts of a whole,Logical Reasoning,"If a student knows 4 out of 10 vocabulary words, what fraction represents what they know?",Translating the ratio (4:10) to a fraction incorrectly as 10/4 instead of 4/10.
K2,Geometry,parts of a whole,Conceptual Error,"If you eat 1/3 of a pizza, what fraction of the pizza is left?",Breaking the pizza into halves instead of thirds.
K2,Geometry,parts of a whole,Proportional Reasoning,A recipe calls for 1/2 cup of sugar to 3 cups of flour. How much sugar for 9 cups of flour?,Misapplying the concept of parts of a whole to an unrelated context.
K2,Geometry,parts of a whole,Conceptual,"If a pizza is cut into 8 equal slices, and 4 slices are eaten, what is the fraction eaten?",The student multiplies 8 and 4 to get 32 slices instead of 4/8 or 1/2.
K2,Geometry,parts of a whole,Conceptual,"If a cake is cut into 8 slices, what fraction is 3 slices?",Assuming all cakes are cut into the same number of slices.
K2,Geometry,parts of a whole,Proportion Word Problem,"If 3 out of 8 students prefer math, how many out of 12 students do you expect to prefer math?",Student misunderstands how to use the ratio 3:8 to find the answer.
K2,Geometry,parts of a whole,Fractions: Parts of a Whole,"If you divide a pizza into 8 slices and eat 3, what fraction have you eaten?",<student's mistake>
K2,Geometry,parts of a whole,Confusing Addition with Multiplication in Parts of a Whole,"If you eat 1/5 of a pizza in 1 day, how much do you eat in 5 days?",1/5 + 1/5 + 1/5 + 1/5 + 1/5 = 5/5 = 1
K2,Geometry,parts of a whole,Visual-Spatial Reasoning,"In a complex shape divided into sections, how many regions are created?",# Ignoring potential overlapping regions.
K2,Geometry,parts of a whole,Visual-Spatial Awareness,"If a shape is divided into two equal parts, what fraction represents each part?",Student overlooks the equal division and assumes larger/smaller sections.
K2,Geometry,parts of a whole,Geometric Reasoning,"If a square is divided into 4 equal parts, what fraction is each part?",<student's difficulty with partitions of a shape>
K2,Geometry,parts of a whole,Proportional Reasoning,"If one-fifth of a circle is shaded, what fraction is unshaded?","#DIVISION BY ZERO ERROR: Thinking that since 1/5 is shaded, 4/5 must be unshaded, leading to a divide by zero error."
K2,Geometry,parts of a whole,Conceptual,"If you eat 2/8 of a pizza, how much is left?",Misunderstanding that 2/8 is equivalent to 1/4.
K2,Geometry,parts of a whole,Fraction Comparison,Are 1/2 and 2/4 equivalent?,Thinking 2/4 is smaller than 1/2 since 4 is larger than 2.
K2,Geometry,parts of a whole,Language Barrier,What is the sum of 3/4 and 1/2?,Student misinterprets 'sum' as 'product' due to language confusion.
K2,Geometry,parts of a whole,Logic Puzzle,"In a Venn diagram, what does the intersection represent when comparing squares and rectangles?",Believing the intersection consists of only one shape.
K2,Geometry,parts of a whole,Proportional Reasoning,A rectangle is 3 units by 5 units. What dimension would make it double the area?,Misunderstanding that same ratio produces double instead of four times the area.
K2,Geometry,parts of a whole,Misconception,"If 1/3 of the pie is eaten and 2/3 remains, what was the whole pie?",Thinking the pie was 3 whole pies.
K2,Geometry,parts of a whole,Fractions on a number line,Plot 2/3 on the number line 0 to 1.,There is no visible mistake as the area below the line is labeled part of the plot.
K2,Geometry,parts of a whole,Problem-Solving,"If a cake has 8 equal slices and you eat 3, what fraction have you eaten?",Student thinks they ate a whole cake instead of a part of one.
K2,Geometry,parts of a whole,Visual-Spatial Reasoning,"If you rotate a 2/5 part of a circle by 90 degrees, what fraction of the whole does it represent now?",#ERROR! Proportion method fails when angles are involved.
K2,Geometry,parts of a whole,Fractions,"If a cake is split into 8 equal slices and 6 are eaten, what fraction of the cake remains?","6/8 is the same as 3/4, not 6/2."
K2,Geometry,parts of a whole,Language Barrier,"If a rectangle is divided into 8 equal parts, how many parts are shaded?",Assuming shaded parts are a different size than unshaded parts.
K2,Geometry,parts of a whole,Language Barrier,"If a square is divided into quarters, what fraction does each quarter represent?",Misinterpreting 'quarter' as 1/4 instead of 1/2.
K2,Geometry,parts of a whole,Part-Part-Whole Relationship,"If a store has 3 types of fruits with 5 fruits each, how many fruits are there in total?","Student multiplies 3 by 5 instead of adding, getting 15 instead of the correct 15 + 5"
K2,Geometry,parts of a whole,Proportional Reasoning,"If a photo is enlarged to 150% of its original size, how does the area increase?",Forgetting that the area scales by a factor of 2.25 (1.5^2)
K2,Geometry,parts of a whole,Conceptual,What is 1/3 + 1/3?,3 as denominator instead of the expected 3 as the sum.
K2,Geometry,parts of a whole,Conceptual Error,"If a pizza is divided into 8 equal slices, what fraction is 5 slices?",Thinking 5/8 is the answer without understanding to count the total first.
K2,Geometry,parts of a whole,Part-Whole Relationship,"If you eat 3/8 of a cake, how much is left?",Calling 3/8 as 3 to represent 3 out of 8 slices.
K2,Geometry,parts of a whole,Fractions - Part of a Whole,Divide the pizza into 8 equal parts. How many parts are shaded if 2 parts are shaded?,Seeing 1 part as half shaded even if fully shaded.
K2,Geometry,parts of a whole,Proportional Reasoning,"If a rectangle is scaled by 2, what is the new ratio of lengths to areas?",Student might assume length and area scale equivalently.
K2,Geometry,parts of a whole,Conceptual Error,"If we have 3 identical pies and cut each into 4 pieces, how many total pieces do we have?",Thinking we have 3 identical pies after cutting.
K2,Geometry,parts of a whole,Part-Whole Relationship,"If you eat 1/5 of a cake, what fraction of the cake is left?",Using 1/5 for the part instead of 4/5 for the remainder.
K2,Geometry,parts of a whole,Conceptual,What does a shaded region in a Venn diagram represent?,Student may think it is the total number of elements.
K2,Geometry,parts of a whole,Conceptual,"If a pizza is cut into 4 equal parts, what is the name of each part?",Seeing part of a pizza as 3/4 instead of a quarter.
K2,Geometry,parts of a whole,Conceptual,"In a pizza, what is 1/8 of the whole?",Student thinks 1/8 is greater than 1/2 because 8 is larger than 2.
K2,Geometry,parts of a whole,Proportional Reasoning,"If one rectangle is 3 times the size of another and has an area of 30 sq units, what is the area of the other?",Student multiplies by 3 instead of by 1/3.
K2,Geometry,parts of a whole,Part-Part-Whole Concept,"If a bag has 3 red, 4 blue, and 2 yellow marbles, what is the total number of marbles?",Thinking the marbles are parts of a whole instead of separate items.
K2,Geometry,parts of a whole,Parts of a Whole,"If you have 1/3 of a cake and eat 1/4 of that, what fraction have you eaten?",Adding instead of multiplying: 1/3 + 1/4 = 3/7
K2,Geometry,parts of a whole,Conceptual,"If a circle represents 1/4 of the total area, what does the shaded region represent?",The mistake is misjudging the area of overlapping regions.
K2,Geometry,parts of a whole,Conceptual Error,"If you have a circle and color half red and half blue, what fraction is each?",The whole is considered each half instead of the entire circle.
K2,Geometry,parts of a whole,Conceptual Error,"If you shade 2 out of 5 parts, what fraction is shaded?",Uncertainty shading 2 out of 5 parts.
K2,Geometry,parts of a whole,Fractional Parts,"If a circle is divided into 8 equal parts and 5 are shaded, what fraction is shaded?",Adding 5/8 + 1/8 to get 6/8 instead of simplifying to 3/4 correctly.
K2,Geometry,parts of a whole,Fraction Addition,What is 1/4 + 1/3?,Thinking 4 + 3 equals 7 as the denominator.
K2,Geometry,parts of a whole,Conceptual Error,Explain the concept of parts and whole with a sandwich cut into halves.,The student thinks each half is now a whole sandwich.
K2,Geometry,parts of a whole,Conceptual,"If 2/3 of the class are boys, how many are girls if there are 15 students?",Considering 15 as the sum of boys and girls.
K2,Geometry,parts of a whole,Visualizing Parts of a Whole,"If a circle is divided into 8 equal parts and 3 parts are shaded, what fraction is shaded?",# Error in wrong representation or shading
K2,Geometry,parts of a whole,Conceptual Error,What does it mean for a shape to be divided into halves?,Confusing a half with a fourth.
K2,Geometry,parts of a whole,Conceptual Error,"If a cake can be divided into 8 slices, what does each slice represent?",Thinking each slice represents the entire cake.
K2,Geometry,parts of a whole,Conceptual,"If a pizza is divided into 8 slices and you eat 2, what fraction is eaten?",Ignoring the total number of slices as the denominator.
K2,Geometry,parts of a whole,Visual-Spatial,How many equal parts make up a whole when an object is divided into 4 parts?,student overlooks the total number of parts when counting.
K2,Geometry,parts of a whole,Fraction as Part of a Whole,"If you eat 2/3 of a cake, how much is left?",Mistaking the cake as 3 parts instead of the whole.
K2,Geometry,parts of a whole,Reasoning,"If a circle is 75% shaded and another is 25% shaded, what is the total shading of both when combined?",#ERROR in displaying combined shading of both circles.
K2,Geometry,parts of a whole,Conceptual,What does 1/2 in geometry typically mean?,Student thinks 1/2 represents 1 out of 3 parts.
K2,Geometry,parts of a whole,Visual-Spatial Challenge,"In a shape with 4 equal parts, what fraction does each part represent?",Student confuses the fraction as 1/4 instead of the correct 1/4.
K2,Geometry,parts of a whole,Conceptual Error,"If 1/3 of a pizza is left, what part was eaten?",Thinking 1/3 means only 1 part.
K2,Geometry,parts of a whole,Visual-Spatial Challenge,How many rectangles are formed by partitioning a 3x3 grid?,Confusing rows with columns and counting duplicates.
K2,Geometry,parts of a whole,Conceptual Error,"If a pizza is cut into 8 slices and 3 are eaten, what fraction is left?",Assuming leftover slices as a mixed number.
