Grade,Topic,Sub-topic,Challenge Type,Student Mistake Prompt,Problem
K2,Geometry,parts of a whole,Finding the percentage of a whole,"A pizza is divided into 8 equal slices. If someone eats 5 slices, what percentage of the pizza did they eat?","Students frequently forget to convert the fraction to a percentage correctly, so they might mistakenly calculate 5/8 as the percentage instead of converting it to 62.5%."
K2,Geometry,parts of a whole,Parts of a Whole,Maria has a pizza sliced into 4 equal parts. She ate 2 slices. What fraction of the pizza did she eat?,"The student may incorrectly think that Maria ate half of the pizza because 2 out of 4 slices were eaten, so they answer 1/2 instead of 2/4."
K2,Geometry,parts of a whole,Understanding fractions as parts of a whole,Sarah colored 2 out of 4 equal parts of a circle red. What fraction of the circle is red?,"The student mistakenly thinks that they need to add the numerator and denominator, so they say 2 + 4 = 6 instead of realizing that the fraction is 2/4 or 1/2."
K2,Geometry,parts of a whole,Parts of a whole in Geometry,"If a shape is divided into 4 equal parts and a student shades 3 parts, what fraction of the whole shape is shaded?","The student may mistakenly think that shading 3 out of the 4 parts means the fraction shaded is 3/4. It's important to understand that the denominator of a fraction represents the total number of equal parts, so the correct fraction shaded in this case is 3/4."
K2,Geometry,parts of a whole,Finding the percentage of a whole,"In a circle, the central angle of a sector is 80 degrees out of 360 degrees. What percentage of the circle does this sector represent?","Students often forget to convert the central angle to a percentage correctly. They might mistakenly think that 80/360 is the percentage, instead of 80/360 * 100."
K2,Geometry,parts of a whole,Parts of a whole,"In a shape, if half of it is colored red and the other half is colored blue, what fraction is red out of the whole shape?",I don't understand why half of the shape being red means it is 1/2 of the whole. Maybe it is just half of the red part.
K2,Geometry,parts of a whole,Parts of a whole,Find the shaded part of the shape below.,The student mistakenly counted all the parts of the shape instead of just the shaded portion.
K2,Geometry,parts of a whole,Fractions of a Circle,Find the measure of the central angle that represents 1/4 of the total degrees in a circle.,"Student mistakenly thinks that 1/4 of a circle is 90 degrees, but forgets that a whole circle is 360 degrees, so 1/4 of 360 degrees is actually 90 degrees."
K2,Geometry,parts of a whole,Understanding parts of a whole,Sara colored 3 out of 5 parts of a circle. What fraction of the circle did she color?,"The student mistakenly thinks Sara colored 3 fifths of the circle, but the correct fraction is 3 fifths, not 3 out of 5 parts."
K2,Geometry,parts of a whole,Part-Whole Relationship,"In a rectangle, the length is 12 cm and the width is 5 cm. What fraction of the rectangle's area is made up by the width?","Many students mistakenly think that the fraction of the area is just width divided by length, but it should be width divided by the total area of the rectangle (width multiplied by length)."
