Grade,Topic,Sub Topic,Challenge Type,Challenge faced,Problem,Student's mistake prompt,Teacher's resolution
K1,Numbers and Operations,Working with equations,Conceptual,Confusion with the concept of grouping,(2 + 3) + 4,Ignoring the grouping symbols and adding in a different order.,Explain the importance of grouping in operations.
K1,Numbers and Operations,Working with equations,Visual-Spatial,Difficulty Aligning Numbers,Solve 2 + 3,"Writes numbers misaligned, leading to incorrect addition.",Use lined paper or grids to help align numbers.
K1,Measurement,Organize objects,Attention,Missing Small Changes,Identify the smallest change in size.,Missing small size variations.,Encourage detailed observation and comparison.
K1,Numbers and Operations,Counting up to 120,Conceptual,Relationship between Numbers and Quantities,Show 5 using blocks,Showing more or fewer blocks than the number 5,Demonstrate one-to-one correspondence using counting games.
K1,Numbers and Operations,Add and subtract within 20,Procedural,Incorrect Use of Counting Strategies,8 + 6 = ?,"Counts incorrectly, writing 13.","Teach effective counting strategies, like counting on."
K1,Numbers and Operations,Counting up to 120,Procedural,Counting with Physical Movement,Count while jumping,Losing count due to movement,"Practice counting with small, controlled movements."
K1,Measurement,Tell time,Cognitive,Overwhelmed by multiple elements on a clock,Read the time and tell me the hour and minutes.,Focusing on too many numbers at once,Simplify the task by covering parts of the clock to focus on one element at a time.
K1,Numbers and Operations,Counting up to 120,Memory,Forgetting Number Names,Count from 1 to 10,Forgetting numbers like 'eight' or 'nine',Incorporate songs or chants that reinforce number names.
K1,Measurement,Measure length,Conceptual,Difficulty with Estimation,Estimate a book as 20 cm when it's clearly 10 cm.,Overestimating or underestimating lengths without measuring.,Teach the student to use reference objects to improve estimation.
K1,Geometry,Circles and rectangles into parts,Procedural,Overlapping parts when dividing,Dividing a circle into thirds,Parts overlap or are unevenly spaced,"Let's space the lines evenly, so each part is separate and doesn't overlap."
K1,Numbers and Operations,Place value: tens and ones,Comprehension,Not Grasping the Concept of 'Tens',Explain what makes up 50.,"Thinks 50 is made of 5 and 0, not five tens.",Clarify using simple language and examples.
K1,Numbers and Operations,Working with equations,Conceptual,Difficulty in understanding word problems,Lisa has 3 apples and gets 2 more.,Misinterpreting the problem as subtraction.,Guide them to visualize the problem using drawings or physical objects.
K1,Numbers and Operations,Word problems within 20,Comprehension,Difficulty understanding the problem concept.,"If you have 5 apples and get 4 more, how many apples?",Not understanding the concept of 'more'.,Use concrete examples to illustrate.
K1,Numbers and Operations,The meaning of the equal sign,Sequential Processing,Writing operations in the wrong sequence,3 + 2 = 5 = 1 + 4,"Chaining equations incorrectly, '3 + 2 = 5 = 1 + 4'.",Explain that each equation must be a complete statement.
K1,Numbers and Operations,Word problems within 20,Language Barrier,Difficulty understanding math vocabulary,What is the sum of 7 and 4?,Not understanding the word 'sum'.,Explain that 'sum' means the result of adding two numbers.
K1,Geometry,Circles and rectangles into parts,Procedural,Using incorrect tools,Using a ruler to divide a circle,Attempting to use a ruler to draw curves,Rulers are great for straight lines. Let's try using a round object to help with circles.
K1,Numbers and Operations,Counting up to 120,Language Barrier,Understanding Counting Terminology,What comes after 29?,Misunderstanding 'after' and saying 28,Clarify positional words with visual aids and gestures.
K1,Measurement,Measure length,Conceptual,Difficulty Understanding the Concept of Zero,Measure starting from 1 instead of 0.,Ignoring the starting point as zero on a scale.,Emphasize the importance of the zero point as the start.
K1,Numbers and Operations,Add and subtract within 20,Memory,Difficulty recalling basic facts,9 + 6 = ?,Forgets the sum and writes a random number like 12.,Use flashcards and repetitive drills to reinforce memory.
K1,Numbers and Operations,Counting up to 120,Attention,Inattention to Detail,Circle the number 12 on the board,Circling the wrong number,Encourage careful observation and double-checking.
K1,Numbers and Operations,Place value: tens and ones,Misinterpretation,Misunderstanding Place Value Charts,Use a chart to show 36 as tens and ones.,"Places 3 in ones column, 6 in tens.",Explain chart layout and use of columns.
K1,Geometry,Describe shapes,Conceptual,Misunderstanding scaling of shapes,Enlarge a triangle by a factor of 2,Doubling side lengths incorrectly,Explain scaling as multiplying dimensions.
K1,Numbers and Operations,Place value: tens and ones,Sequential Processing,Struggling with Sequencing Steps,Break down 53 into tens and ones.,"Attempts to find ones first, then tens.",Teach step-by-step approach.
K1,Numbers and Operations,Use place value to add and subtract,Procedural,Errors in Writing Answers,52 + 49,Writing the answer incorrectly due to misplaced digits.,Ensure clarity in writing and practice neatness in calculations.
K1,Numbers and Operations,Working with equations,Procedural,Mixing up addition and subtraction,5 + 3 = 2,Subtracting instead of adding.,Differentiate between the symbols and their operations.
K1,Numbers and Operations,Working with equations,Conceptual,Difficulty with skip counting,"Count by 2s: 2, 4, ?, 8",Adding 1 instead of 2.,Use counting games to reinforce skip counting.
K1,Numbers and Operations,Add and subtract within 20,Procedural,Incorrect Borrowing in Subtraction,14 - 9 = ?,"Fails to borrow correctly, resulting in incorrect subtraction.",Teach borrowing with visual aids like base-ten blocks.
